LC_File_Path	Period	Chi-square	Date
6050390227	9.799000000000001	18560.818359375	20112
6050390228	9.7984	17866.67578125	20113
6050390229	9.798100000000002	29553.1953125	20114
6050390230	9.797500000000001	16109.646484375	20115
6050390231	9.797300000000002	24175.509765625	20116
6050390232	9.797200000000002	61175.50390625	20117
6050390233	9.7971	85805.625	20118
6050390234	9.797200000000002	77402.78125	20119
6050390235	9.797500000000001	57982.484375	20120
6050390236	9.798100000000002	41859.7578125	20121
6050390237	9.7985	76751.1484375	20122
6050390238	9.799000000000001	65774.7578125	20123
6050390239	9.799700000000001	36952.95703125	20124
6050390240	9.800500000000001	30787.03125	20125
6050390241	9.801	18638.90234375	20126
6050390242	9.801100000000002	24929.5859375	20127
6050390243	9.801300000000001	30351.9453125	20128
6050390244	9.8009	25225.51953125	20130
6050390246	9.792900000000001	14466.73828125	20134
6050390247	9.791500000000001	32459.33203125	20140
6050390248	9.793800000000001	82426.4296875	20141
6050390249	9.790500000000002	19224.771484375	20142
6050390250	9.795000000000002	37377.7578125	20143
6050390251	9.7925	49518.13671875	20144
6050390252	9.792300000000001	48853.078125	20145
6050390253	9.792300000000001	37818.47265625	20146
6050390254	9.7924	64177.6015625	20147
6050390255	9.7902	21099.33203125	20168
6050390256	9.789800000000001	46174.63671875	20169
6050390257	9.785	20418.4296875	20170
6050390258	9.789100000000001	20577.607421875	20171
6050390259	9.788900000000002	8969.03515625	20172
6050390261	9.789000000000001	17109.78125	20174
6050390262	9.7893	8699.0205078125	20175
6050390263	9.789100000000001	5618.9130859375	20176
6050390264	9.789000000000001	4109.501953125	20177
6050390265	9.791500000000001	3458.870849609375	20179
6050390266	9.7933	4088.079833984375	20181
6050390267	9.793800000000001	3624.1337890625	20182
6050390268	9.792300000000001	1656.6397705078125	20183
6050390269	9.794400000000001	1675.99072265625	20184
6050390270	9.794400000000001	1766.008544921875	20185
6050390272	9.7939	2160.111572265625	20187
6050390276	9.791400000000001	2665.451416015625	20192
6050390279	9.790000000000001	1387.354736328125	20195
